GAME_ID,TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,MIN,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,REB,AST,STL,BLK,TOV,PF
0022300061,LAL,1627752,Taurean Prince,29.883333333333333,18,6,8,4,6,2,2,3,1,0,1,1,0
0022300061,LAL,2544,LeBron James,29.016666666666666,21,10,16,1,4,0,1,8,5,1,0,0,1
0022300061,LAL,203076,Anthony Davis,34.15,17,6,17,1,2,4,4,8,4,0,2,2,3
0022300061,LAL,1630559,Austin Reaves,31.33333333333333,14,4,11,1,2,5,7,8,4,2,0,2,2
0022300061,LAL,1626156,D'Angelo Russell,36.18333333333333,11,4,12,2,5,1,2,4,7,1,0,3,3
0022300061,LAL,1629060,Rui Hachimura,14.633333333333333,6,3,10,0,3,0,0,3,0,0,0,0,2
0022300061,LAL,1629216,Gabe Vincent,22.3,6,3,8,0,4,0,0,1,2,1,0,2,3
0022300061,LAL,1629637,Jaxson Hayes,6.9,0,0,0,0,0,0,0,1,0,0,0,0,1
0022300061,LAL,1629629,Cam Reddish,17.633333333333333,7,2,4,1,2,2,2,4,0,0,1,0,2
0022300061,LAL,1626174,Christian Wood,15.466666666666669,7,3,4,0,1,1,2,4,0,0,0,1,1
0022300061,LAL,1631108,Max Christie,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0
0022300061,LAL,1641721,Maxwell Lewis,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0
0022300061,DEN,1629008,Michael Porter Jr.,30.116666666666667,12,5,13,2,9,0,0,12,2,2,0,0,1
0022300061,DEN,203932,Aaron Gordon,34.96666666666667,15,7,11,1,2,0,0,7,5,2,1,0,0
0022300061,DEN,203999,Nikola Jokić,36.25,29,12,22,3,5,2,4,13,11,1,1,2,2
0022300061,DEN,203484,Kentavious Caldwell-Pope,36.23333333333333,20,8,12,2,3,2,2,2,1,3,1,3,5
0022300061,DEN,1627750,Jamal Murray,34.233333333333334,21,8,13,3,5,2,2,2,6,0,1,1,3
0022300061,DEN,202704,Reggie Jackson,24.066666666666663,8,3,8,2,5,0,0,3,1,1,0,2,0
0022300061,DEN,1631212,Peyton Watson,10.85,3,1,3,1,3,0,0,0,0,0,1,1,1
0022300061,DEN,1630192,Zeke Nnaji,11.75,4,1,3,0,1,2,2,0,1,0,0,1,2
0022300061,DEN,1631128,Christian Braun,19.33333333333333,5,2,5,0,1,1,2,3,2,0,1,1,1
0022300061,DEN,1631221,Collin Gillespie,0.7333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
0022300061,DEN,1630296,Braxton Key,0.7333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
0022300061,DEN,1629618,Jalen Pickett,0.7333333333333333,2,1,1,0,0,0,0,0,0,0,0,0,0
0022300062,PHX,1629006,Josh Okogie,31.633333333333333,17,7,9,1,1,2,2,5,1,1,0,2,2
0022300062,PHX,201142,Kevin Durant,36.78333333333333,18,7,22,1,2,3,5,11,3,0,1,2,1
0022300062,PHX,203994,Jusuf Nurkić,27.866666666666667,14,5,8,1,2,3,3,14,3,0,1,1,5
0022300062,PHX,1628960,Grayson Allen,20.916666666666668,0,0,6,0,5,0,0,4,2,0,0,1,2
0022300062,PHX,1626164,Devin Booker,36.96666666666667,32,13,21,3,8,3,3,6,8,1,0,6,4
0022300062,PHX,201569,Eric Gordon,31.65,10,4,16,2,9,0,0,4,1,1,1,1,2
0022300062,PHX,1629234,Drew Eubanks,19.23333333333333,4,1,3,0,0,2,4,7,2,0,3,3,3
0022300062,PHX,1629139,Yuta Watanabe,17.883333333333333,8,3,5,2,4,0,0,4,0,0,1,1,2
0022300062,PHX,1630692,Jordan Goodwin,14.183333333333334,2,1,4,0,1,0,0,4,3,1,0,2,0
0022300062,PHX,1629642,Nassir Little,2.8833333333333333,3,1,1,1,1,0,0,1,0,1,0,0,1
0022300062,GSW,202691,Klay Thompson,36.266666666666666,15,6,18,3,11,0,0,7,3,0,1,3,3
0022300062,GSW,203952,Andrew Wiggins,27.28333333333333,10,4,12,0,3,2,3,1,0,0,1,0,3
0022300062,GSW,1626172,Kevon Looney,27.966666666666665,7,3,6,0,0,1,1,11,1,0,0,2,2
0022300062,GSW,101108,Chris Paul,34.21666666666667,14,4,15,0,6,6,7,6,9,2,0,1,0
0022300062,GSW,201939,Stephen Curry,30.75,27,8,20,4,14,7,7,5,1,1,0,2,5
0022300062,GSW,1630228,Jonathan Kuminga,20.133333333333333,12,4,8,0,0,4,6,6,1,2,1,2,5
