GAME_ID,FECHA,LOCAL,VISITANTE,PTS_LOCAL,PTS_VISITANTE
0022300061,2023-10-24,DEN,LAL,119,107
0022300062,2023-10-24,GSW,PHX,104,108
0022300069,2023-10-25,TOR,MIN,97,94
0022300063,2023-10-25,CHA,ATL,116,110
0022300064,2023-10-25,IND,WAS,143,120
0022300065,2023-10-25,NYK,BOS,104,108
0022300066,2023-10-25,ORL,HOU,116,86
0022300067,2023-10-25,BKN,CLE,113,114
0022300068,2023-10-25,MIA,DET,103,102
0022300070,2023-10-25,CHI,OKC,104,124
0022300071,2023-10-25,MEM,NOP,104,111
0022300072,2023-10-25,UTA,SAC,114,130
0022300073,2023-10-25,SAS,DAL,119,126
0022300074,2023-10-25,LAC,POR,123,111
0022300075,2023-10-26,MIL,PHI,118,117
0022300076,2023-10-26,LAL,PHX,100,95
0022300077,2023-10-27,CHA,DET,99,111
0022300078,2023-10-27,MEM,DEN,104,108
0022300079,2023-10-27,ATL,NYK,120,126
0022300081,2023-10-27,CLE,OKC,105,108
0022300080,2023-10-27,BOS,MIA,119,111
0022300083,2023-10-27,SAS,HOU,126,122
0022300084,2023-10-27,DAL,BKN,125,120
0022300085,2023-10-27,UTA,LAC,120,118
0022300086,2023-10-27,POR,ORL,97,102
0022300087,2023-10-27,SAC,GSW,114,122
0022300082,2023-10-27,CHI,TOR,104,103
0022300092,2023-10-28,TOR,PHI,107,114
0022300094,2023-10-28,PHX,UTA,126,104
0022300093,2023-10-28,MIN,MIA,106,90
0022300091,2023-10-28,CLE,IND,113,125
0022300090,2023-10-28,NOP,NYK,96,87
0022300089,2023-10-28,WAS,MEM,113,106
0022300088,2023-10-28,DET,CHI,118,102
0022300095,2023-10-29,OKC,DEN,95,128
0022300096,2023-10-29,HOU,GSW,95,106
0022300097,2023-10-29,MIL,ATL,110,127
0022300098,2023-10-29,PHI,POR,126,98
0022300099,2023-10-29,LAC,SAS,123,83
0022300100,2023-10-29,SAC,LAL,132,127
0022300109,2023-10-30,OKC,DET,124,112
0022300108,2023-10-30,NOP,GSW,102,130
0022300110,2023-10-30,DEN,UTA,110,102
0022300107,2023-10-30,MIL,MIA,122,114
0022300102,2023-10-30,IND,CHI,105,112
0022300105,2023-10-30,TOR,POR,91,99
0022300104,2023-10-30,ATL,MIN,127,113
0022300103,2023-10-30,WAS,BOS,107,126
0022300111,2023-10-30,LAL,ORL,106,103
0022300106,2023-10-30,MEM,DAL,110,125
0022300101,2023-10-30,CHA,BKN,121,133
0022300112,2023-10-31,CLE,NYK,91,109
0022300114,2023-10-31,LAC,ORL,118,102
0022300113,2023-10-31,PHX,SAS,114,115
0022300116,2023-11-01,TOR,MIL,130,111
0022300115,2023-11-01,DET,POR,101,110
0022300125,2023-11-01,UTA,MEM,133,109
0022300124,2023-11-01,DAL,CHI,114,105
0022300123,2023-11-01,MIN,DEN,110,89
0022300122,2023-11-01,HOU,CHA,128,119
0022300127,2023-11-01,LAL,LAC,130,125
0022300120,2023-11-01,NYK,CLE,89,95
0022300119,2023-11-01,MIA,BKN,105,109
0022300118,2023-11-01,BOS,IND,155,104
0022300117,2023-11-01,ATL,WAS,130,121
0022300121,2023-11-01,OKC,NOP,106,110
0022300126,2023-11-01,GSW,SAC,102,101
0022300128,2023-11-02,PHI,TOR,114,99
0022300129,2023-11-02,NOP,DET,125,116
0022300130,2023-11-02,UTA,ORL,113,115
0022300131,2023-11-02,PHX,SAS,121,132
0022300007,2023-11-03,POR,MEM,115,113
0022300002,2023-11-03,MIL,NYK,110,105
0022300003,2023-11-03,MIA,WAS,121,114
0022300004,2023-11-03,CHI,BKN,107,109
0022300005,2023-11-03,OKC,GSW,139,141
0022300006,2023-11-03,DEN,DAL,125,114
0022300001,2023-11-03,IND,CLE,121,116
0022300138,2023-11-04,MIN,UTA,123,95
0022300132,2023-11-04,PHI,PHX,112,100
0022300133,2023-11-04,IND,CHA,124,125
0022300134,2023-11-04,ORL,LAL,120,101
0022300135,2023-11-04,NOP,ATL,105,123
0022300136,2023-11-04,BKN,BOS,114,124
0022300137,2023-11-04,HOU,SAC,107,89
0022300139,2023-11-04,DEN,CHI,123,101
0022300140,2023-11-05,DET,PHX,106,120
0022300144,2023-11-05,POR,MEM,100,112
0022300143,2023-11-05,DAL,CHA,124,118
0022300142,2023-11-05,CLE,GSW,115,104
0022300141,2023-11-05,SAS,TOR,116,123
0022300149,2023-11-06,BKN,MIL,125,129
0022300150,2023-11-06,MIA,LAL,108,107
0022300147,2023-11-06,ORL,DAL,102,117
0022300152,2023-11-06,CHI,UTA,130,113
0022300153,2023-11-06,HOU,SAC,122,97
0022300155,2023-11-06,OKC,ATL,126,117
0022300156,2023-11-06,DEN,NOP,134,116
0022300146,2023-11-06,IND,SAS,152,111
0022300145,2023-11-06,DET,GSW,109,120
0022300148,2023-11-06,PHI,WAS,146,128
0022300151,2023-11-06,NYK,LAC,111,97
