GAME_ID,FECHA,LOCAL,VISITANTE
0022300684,2024-02-01,BOS,LAL
0022300685,2024-02-01,NYK,IND
0022300686,2024-02-01,UTA,PHI
0022300687,2024-02-01,MEM,CLE
0022300694,2024-02-02,MIN,ORL
0022300697,2024-02-02,DEN,POR
0022300696,2024-02-02,SAS,NOP
0022300695,2024-02-02,OKC,CHA
0022300693,2024-02-02,MEM,GSW
0022300692,2024-02-02,HOU,TOR
0022300690,2024-02-02,ATL,PHX
0022300689,2024-02-02,WAS,MIA
0022300688,2024-02-02,DET,LAC
0022300691,2024-02-02,IND,SAC
0022300701,2024-02-03,NYK,LAL
0022300703,2024-02-03,SAS,CLE
0022300698,2024-02-03,PHI,BKN
0022300699,2024-02-03,ATL,GSW
0022300700,2024-02-03,CHI,SAC
0022300702,2024-02-03,DAL,MIL
0022300710,2024-02-04,OKC,TOR
0022300712,2024-02-04,DEN,POR
0022300711,2024-02-04,UTA,MIL
0022300709,2024-02-04,MIN,HOU
0022300707,2024-02-04,CHA,IND
0022300708,2024-02-04,MIA,LAC
0022300705,2024-02-04,WAS,PHX
0022300704,2024-02-04,DET,ORL
0022300706,2024-02-04,BOS,MEM
0022300713,2024-02-05,CHA,LAL
0022300714,2024-02-05,CLE,SAC
0022300715,2024-02-05,PHI,DAL
0022300716,2024-02-05,ATL,LAC
0022300717,2024-02-05,BKN,GSW
0022300718,2024-02-05,NOP,TOR
0022300721,2024-02-06,MIA,ORL
0022300725,2024-02-06,PHX,MIL
0022300724,2024-02-06,UTA,OKC
0022300723,2024-02-06,CHI,MIN
0022300722,2024-02-06,NYK,MEM
0022300719,2024-02-06,IND,HOU
0022300720,2024-02-06,BKN,DAL
0022300730,2024-02-07,MIA,SAS
0022300732,2024-02-07,SAC,DET
0022300726,2024-02-07,CHA,TOR
0022300727,2024-02-07,PHI,GSW
0022300728,2024-02-07,WAS,CLE
0022300729,2024-02-07,BOS,ATL
0022300731,2024-02-07,LAC,NOP
0022300738,2024-02-08,MIL,MIN
0022300737,2024-02-08,MEM,CHI
0022300740,2024-02-08,LAL,DEN
0022300739,2024-02-08,PHX,UTA
0022300736,2024-02-08,NYK,DAL
0022300735,2024-02-08,BKN,CLE
0022300734,2024-02-08,ORL,SAS
0022300733,2024-02-08,IND,GSW
0022300741,2024-02-08,POR,DET
0022300747,2024-02-09,LAL,NOP
0022300746,2024-02-09,SAC,DEN
0022300745,2024-02-09,MIL,CHA
0022300744,2024-02-09,TOR,HOU
0022300742,2024-02-09,PHI,ATL
0022300743,2024-02-09,BOS,WAS
0022300754,2024-02-10,ATL,HOU
0022300758,2024-02-10,POR,NOP
0022300757,2024-02-10,GSW,PHX
0022300756,2024-02-10,TOR,CLE
0022300755,2024-02-10,NYK,IND
0022300753,2024-02-10,WAS,PHI
0022300752,2024-02-10,ORL,CHI
0022300751,2024-02-10,CHA,MEM
0022300750,2024-02-10,BKN,SAS
0022300749,2024-02-10,LAC,DET
0022300748,2024-02-10,DAL,OKC
0022300759,2024-02-11,MIA,BOS
0022300760,2024-02-11,OKC,SAC
0022300768,2024-02-12,DAL,WAS
0022300767,2024-02-12,MIL,DEN
0022300766,2024-02-12,MEM,NOP
0022300770,2024-02-12,LAC,MIN
0022300769,2024-02-12,UTA,GSW
0022300765,2024-02-12,HOU,NYK
0022300762,2024-02-12,CLE,PHI
0022300763,2024-02-12,ATL,CHI
0022300761,2024-02-12,CHA,IND
0022300764,2024-02-12,TOR,SAS
0022300771,2024-02-13,BKN,BOS
0022300772,2024-02-13,ORL,OKC
0022300773,2024-02-13,MIL,MIA
0022300774,2024-02-13,PHX,SAC
0022300775,2024-02-13,POR,MIN
0022300776,2024-02-13,LAL,DET
0022300783,2024-02-14,MEM,HOU
0022300786,2024-02-14,DEN,SAC
0022300787,2024-02-14,PHX,DET
0022300785,2024-02-14,DAL,SAS
0022300784,2024-02-14,NOP,WAS
0022300782,2024-02-14,TOR,IND
0022300789,2024-02-14,GSW,LAC
0022300780,2024-02-14,BOS,BKN
0022300779,2024-02-14,PHI,MIA
0022300778,2024-02-14,ORL,NYK
0022300777,2024-02-14,CHA,ATL
0022300788,2024-02-14,UTA,LAL
0022300781,2024-02-14,CLE,CHI
0022300791,2024-02-15,POR,MIN
0022300790,2024-02-15,MEM,MIL
0022300576,2024-02-15,UTA,GSW
0022300799,2024-02-22,OKC,LAC
0022300792,2024-02-22,CLE,ORL
0022300793,2024-02-22,IND,DET
0022300794,2024-02-22,PHI,NYK
0022300795,2024-02-22,TOR,BKN
0022300796,2024-02-22,DAL,PHX
0022300797,2024-02-22,CHI,BOS
0022300798,2024-02-22,NOP,HOU
0022300800,2024-02-22,DEN,WAS
0022300801,2024-02-22,UTA,CHA
0022300802,2024-02-22,GSW,LAL
0022300803,2024-02-22,SAC,SAS
0022300810,2024-02-23,NOP,MIA
0022300813,2024-02-23,LAL,SAS
0022300809,2024-02-23,OKC,WAS
0022300812,2024-02-23,POR,DEN
0022300808,2024-02-23,MIN,MIL
0022300811,2024-02-23,GSW,CHA
0022300806,2024-02-23,HOU,PHX
0022300805,2024-02-23,PHI,CLE
0022300804,2024-02-23,ATL,TOR
0022300807,2024-02-23,MEM,LAC
0022300814,2024-02-24,DET,ORL
0022300815,2024-02-24,MIN,BKN
0022300816,2024-02-24,NYK,BOS
0022300827,2024-02-25,LAC,SAC
0022300826,2024-02-25,POR,CHA
0022300825,2024-02-25,UTA,SAS
0022300824,2024-02-25,GSW,DEN
0022300823,2024-02-25,NOP,CHI
0022300822,2024-02-25,HOU,OKC
0022300820,2024-02-25,WAS,CLE
0022300819,2024-02-25,IND,DAL
0022300818,2024-02-25,PHX,LAL
0022300817,2024-02-25,PHI,MIL
0022300821,2024-02-25,ATL,ORL
0022300828,2024-02-26,NYK,DET
0022300829,2024-02-26,IND,TOR
0022300830,2024-02-26,MEM,BKN
0022300831,2024-02-26,SAC,MIA
0022300838,2024-02-27,MIN,SAS
0022300842,2024-02-27,POR,MIA
0022300840,2024-02-27,MIL,CHA
0022300839,2024-02-27,CHI,DET
0022300837,2024-02-27,NYK,NOP
0022300841,2024-02-27,OKC,HOU
0022300835,2024-02-27,ATL,UTA
0022300834,2024-02-27,WAS,GSW
0022300833,2024-02-27,ORL,BKN
0022300832,2024-02-27,CLE,DAL
0022300836,2024-02-27,BOS,PHI
0022300843,2024-02-28,IND,NOP
0022300844,2024-02-28,TOR,DAL
0022300845,2024-02-28,MIN,MEM
0022300846,2024-02-28,CHI,CLE
0022300847,2024-02-28,DEN,SAC
0022300848,2024-02-28,LAC,LAL
0022300856,2024-02-29,LAL,WAS
0022300854,2024-02-29,PHX,HOU
0022300853,2024-02-29,SAS,OKC
0022300852,2024-02-29,NYK,GSW
0022300855,2024-02-29,DEN,MIA
0022300850,2024-02-29,ORL,UTA
0022300849,2024-02-29,CHA,MIL
0022300851,2024-02-29,BKN,ATL
0022300865,2024-03-01,LAC,WAS
0022300864,2024-03-01,CHI,MIL
0022300862,2024-03-01,MIN,SAC
0022300861,2024-03-01,MEM,POR
0022300863,2024-03-01,NOP,IND
0022300859,2024-03-01,BOS,DAL
0022300858,2024-03-01,PHI,CHA
0022300857,2024-03-01,DET,CLE
0022300860,2024-03-01,TOR,GSW
0022300866,2024-03-02,BKN,ATL
0022300867,2024-03-02,MIA,UTA
0022300868,2024-03-02,MEM,POR
0022300869,2024-03-02,LAL,DEN
0022300870,2024-03-02,PHX,HOU
0022300877,2024-03-03,SAS,IND
0022300878,2024-03-03,PHX,OKC
0022300876,2024-03-03,CLE,NYK
0022300874,2024-03-03,ORL,DET
0022300875,2024-03-03,TOR,CHA
0022300872,2024-03-03,BOS,GSW
0022300871,2024-03-03,DAL,PHI
0022300873,2024-03-03,MIN,LAC
0022300879,2024-03-04,BKN,MEM
0022300880,2024-03-04,MIL,LAC
0022300881,2024-03-04,MIN,POR
0022300882,2024-03-04,UTA,WAS
0022300883,2024-03-04,SAC,CHI
0022300884,2024-03-04,LAL,OKC
0022300893,2024-03-05,DEN,PHX
0022300892,2024-03-05,DAL,IND
0022300891,2024-03-05,HOU,SAS
0022300890,2024-03-05,TOR,NOP
0022300889,2024-03-05,NYK,ATL
0022300887,2024-03-05,BKN,PHI
0022300886,2024-03-05,CLE,BOS
